fh/Bw	c1	fh/Bw	c2	fh/Bw	c3	fh/Bw	c4																	
0	0.191	1.01	0	2.83	0	4.64	0																	
0.1	0.206	1.03	0.038	2.84	0.036	4.65	0.031																	
0.48	0.368	1.04	0.076	2.86	0.07	4.67	0.065																	
0.63	0.565	1.06	0.108	2.88	0.098	4.69	0.09																	
0.72	0.728	1.09	0.141	2.91	0.126	4.73	0.115																	
0.77	0.837	1.14	0.168	2.97	0.151	4.8	0.138																	
0.82	0.894	1.2	0.178	3.04	0.163	4.87	0.15																	
0.85	0.908	1.28	0.18	3.11	0.166	4.95	0.155																	
0.89	0.89	1.36	0.177	3.21	0.165	5.05	0.156																	
0.92	0.857	1.46	0.173	3.32	0.163	5.17	0.155																	
0.99	0.759	1.58	0.17	3.44	0.162	5.3	0.154																	
1.06	0.649	1.72	0.172	3.58	0.164	5.44	0.157																	
1.13	0.542	1.86	0.18	3.73	0.171	5.6	0.164																	
1.22	0.444	1.98	0.194	3.86	0.184	5.73	0.175																	
1.33	0.355	2.39	0.318	4.3	0.28	6.21	0.25																	
1.48	0.276	2.58	0.418	4.53	0.331																			
1.68	0.205	2.7	0.454	4.69	0.33																			
1.99	0.139	2.8	0.448	4.83	0.305																			
2.59	0.078	2.89	0.421	4.96	0.275																			
3.23	0.049	2.97	0.386	5.09	0.245																			
3.87	0.034	3.06	0.351	5.22	0.218																			
4.87	0.021	3.14	0.316	5.36	0.194																			
5.31	0.017	3.33	0.256	5.67	0.154																			
5.92	0.014	3.54	0.206	6.02	0.123																			
		3.79	0.165																					
		4.09	0.131																					
		4.47	0.101																					
		4.99	0.076																					
		5.73	0.054																					
		6.96	0.034																					
